Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,36514.96,4310.64,48500.00,42,0,3,0,47,0,23,0,2,0.8216933914760222,204
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,4957837.55,305399.68,427500.00,648,0,151,0,1848,0,203,0,22,0.7946943280606708,1812
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,107.73,2174989.12,4095300.00,433,93,0,382,0,773,0,277,41,0.8627780084429981,2448
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,1411723.57,700831.62,5131800.00,568,0,417,0,1409,0,364,0,41,0.8856522905147918,2880
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,2326.32,1280787.72,5280100.00,412,76,0,452,0,662,0,348,44,0.8512959574533389,2796
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,1054.99,2065585.10,5526000.00,473,92,0,381,0,895,0,347,43,0.8326226891803886,2820
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1028.59,2630661.51,5745600.00,454,93,0,374,0,1163,0,360,42,0.8392730907086421,2808
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,417.82,2174186.65,5898200.00,232,292,0,396,0,1184,0,281,40,0.8172136136041662,2736
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,12491493.65,0.00,0,1485,0,804,0,3347,0,349,3,2.1231840321344753,1032
